subject,emotion,gaze,RT,acc
12,Fear,Averted,660.693448,0.92
13,Fear,Averted,724.4359601,0.97
14,Fear,Averted,794.3282347,0.85
15,Fear,Averted,870.96359,0.92
16,Fear,Averted,776.2471166,0.9
17,Fear,Averted,741.3102413,0.88
18,Fear,Averted,831.7637711,0.97
19,Fear,Averted,724.4359601,0.98
20,Fear,Averted,524.8074602,0.92
21,Fear,Averted,912.0108394,0.97
22,Fear,Averted,870.96359,0.98
23,Fear,Averted,1000,0.77
24,Fear,Averted,1071.519305,0.98
25,Fear,Averted,977.237221,0.95
26,Fear,Averted,912.0108394,0.98
27,Fear,Averted,891.2509381,0.95
28,Fear,Averted,1047.128548,0.92
29,Fear,Averted,851.1380382,0.97
30,Fear,Averted,870.96359,0.97
31,Fear,Averted,891.2509381,0.97
32,Fear,Averted,831.7637711,0.97
33,Fear,Averted,1000,0.95
34,Fear,Averted,1047.128548,0.95
35,Fear,Averted,1023.292992,0.95
36,Fear,Averted,933.2543008,0.9
37,Fear,Averted,1000,0.97
38,Fear,Averted,1023.292992,0.88
39,Fear,Averted,891.2509381,0.93
40,Fear,Averted,912.0108394,0.93
41,Fear,Averted,1412.537545,1
42,Fear,Averted,1288.249552,0.95
43,Fear,Averted,1071.519305,0.92
44,Fear,Averted,1380.384265,0.92
45,Fear,Averted,1348.962883,0.9
46,Fear,Averted,977.237221,0.92
47,Fear,Averted,1148.153621,0.98
48,Fear,Averted,1202.264435,0.92
49,Fear,Averted,1047.128548,0.98
50,Fear,Averted,1412.537545,1
51,Fear,Averted,1122.018454,0.88
52,Fear,Averted,1380.384265,0.93
53,Fear,Averted,1122.018454,0.97
54,Fear,Averted,1023.292992,0.97
55,Fear,Averted,1318.256739,0.92
56,Fear,Averted,1862.087137,0.97
57,Fear,Averted,1621.810097,0.88
58,Fear,Averted,1230.268771,0.95
59,Fear,Averted,1122.018454,0.97
60,Fear,Averted,1148.153621,0.87
