ID,AGE,CONFIDNT,ASSERTIV,COGNITIV,OUTGOING,DEPENDBL,WARMHSTL,SEX,ATTRACT,BABYFACE,FWHR
g181,CHILD,3.53243,1.44308,-0.88132,6.25617,4.94312,0.86861,M,2.28,4.06,0.08141512
g090,CHILD,0.10657,-3.18682,0.02647,-3.37759,2.53326,2.77375,F,3.69,2.5,0.078850343
b040,CHILD,1.79957,2.82872,2.29654,6.55166,6.07752,-2.3356,M,3.5,4.06,0.069245326
g073,CHILD,3.89485,-1.24514,0.58403,0.31051,5.87089,3.22158,F,4.19,3.25,0.051240036
g085,CHILD,1.91595,-2.87675,-3.69832,0.85734,1.92302,-0.1533,F,3.94,2.81,0.032394469
g062,CHILD,-0.29235,1.7074,-4.99404,3.25014,3.73903,1.50138,M,2.53,2.25,0.026499161
g173,CHILD,0.80548,4.74492,-0.26811,0.89527,2.99604,-3.09262,M,3.13,3.45,-0.018528832
g066,CHILD,2.36544,2.97923,2.24888,4.63053,6.10904,-3.18963,F,2.56,4.13,-0.05893095
b038,CHILD,-2.05331,0.04851,-1.52752,-4.75681,4.93949,1.17353,M,4.06,4.63,-0.066747957
b073,CHILD,-0.63803,1.87836,-5.73322,0.19153,0.54043,-1.10008,M,4.75,4.13,-0.080613881
g160,CHILD,-1.51752,-0.44507,-2.52782,-5.08662,3.46479,-2.9132,M,4,2,-0.103740767
b049,CHILD,2.10522,-0.01066,1.7798,0.85709,6.44634,-1.21235,F,4,4,-0.136477221
b009,CHILD,1.03158,5.21244,-1.131,3.20189,5.59512,-3.28812,M,3.8,4.06,-0.150269347
g082,CHILD,-1.55993,0.37197,-1.07185,0.64492,3.93027,-1.08865,F,2.56,4.44,-0.150642271
g094,CHILD,4.00294,0.94451,1.99319,4.70761,5.31356,0.42469,F,4.56,2.63,-0.189470125
g086,CHILD,1.70894,4.69317,1.3139,5.39238,4.55965,-5.14525,M,3.88,4.32,-0.199548889
g062,CHILD,-0.29235,1.7074,-4.99404,3.25014,3.73903,1.50138,M,2.53,2.25,-0.212141933
g049,CHILD,-1.2929,-0.48687,1.49904,2.07516,-0.49098,1.76189,M,4.56,3.44,-0.254198861
b048,CHILD,0.5218,1.50063,-2.86415,3.67277,2.39722,-0.02572,M,4.13,4,-0.260480311
g069,CHILD,1.49794,1.95435,1.32687,-2.69378,5.96056,-3.72451,M,6.03,2.47,-0.278700442
g095,CHILD,1.05754,-2.62218,-3.28745,0.65651,2.97863,4.30703,F,3.19,4.63,-0.296435357
b017,CHILD,-1.39803,-1.11405,-4.86206,-1.79789,3.51711,2.57741,M,3.88,3,-0.305534457
b091,CHILD,0.48963,-1.34969,0.66955,-4.25815,5.12353,3.49361,F,4.31,3.19,-0.314773479
b042,CHILD,-1.50662,6.23954,-3.46075,3.53046,-0.203,-7.00913,M,3.69,2.31,-0.32035653
b012,CHILD,3.32552,0.0089,2.34001,1.90493,6.02002,2.54263,F,4.5,3.19,-0.320445921
g154,CHILD,2.73493,2.5798,0.70291,4.25623,3.91578,-1.06737,M,4.81,4.09,-0.3305397
g103,CHILD,-0.7156,-1.62434,-0.5442,-0.25022,4.44564,2.05166,F,4.06,2.5,-0.341977909
b033,CHILD,-0.48532,4.55311,-5.29346,4.71946,0.13172,-1.89724,M,2.81,4.19,-0.344297288
g100,CHILD,-0.45208,-0.08007,-1.51667,2.77002,4.39705,-2.60172,F,3.06,2.88,-0.346793561
g121,CHILD,2.9465,3.6337,-2.6315,3.10565,2.90103,2.18788,M,3.69,4.13,-0.356705547
g133,CHILD,-0.17234,-3.05111,-1.45092,-1.58387,4.66071,3.07343,M,3.63,3.87,-0.358696887
g153,CHILD,0.27174,4.32719,-0.14477,5.08695,1.7301,-1.97313,M,3.53,2.41,-0.418605314
g099,CHILD,-0.51527,4.86757,-5.72606,3.18469,2.13059,-2.0548,M,2.78,4.25,-0.447659128
g151,CHILD,1.00812,3.36194,-2.14525,5.69253,3.89017,-6.30482,F,4,3.19,-0.456103752
b025,CHILD,0.57136,3.57829,-0.00788,3.31924,7.65268,-0.02671,M,3.56,3.56,-0.457915647
g117,CHILD,0.0265,3.76076,-0.87912,-1.10181,2.4091,-3.32821,M,3.88,3.41,-0.458980672
g161,CHILD,-0.54837,-2.34351,-2.79962,-2.4163,3.447,4.05659,F,3.56,2.81,-0.464011805
b052,CHILD,1.90333,-1.55847,1.10154,0.79161,4.64732,2.85933,F,4.63,4.25,-0.494881735
b027,CHILD,-2.04422,-2.35931,-0.8883,-4.43304,2.17761,-0.32156,F,0,0,-0.544234041
g174,CHILD,-2.35481,-0.51133,-1.08533,0.65656,1.62032,0.28673,F,2.25,4.5,-0.56765123
g122,CHILD,2.64023,3.89907,-3.51642,2.6814,1.75694,-0.19484,M,0,0,-0.59555509
b050,CHILD,3.36555,1.82759,2.12794,3.87677,4.76762,2.26061,M,3.31,3.5,-0.612300686
b093,CHILD,2.53236,3.93604,-0.28509,6.06927,2.48399,-1.83614,F,0,0,-0.615935544
g061,CHILD,1.70877,2.24745,1.8492,3.59799,8.49778,-5.45474,F,2.88,3.5,-0.621882037
g127,CHILD,-3.66182,-0.07359,-2.53655,2.04838,1.50096,-1.39368,F,3.81,4.19,-0.624756457
g163,CHILD,3.48437,0.67676,2.72134,3.30006,6.21483,1.56106,F,3.75,3.31,-0.637633415
g139,CHILD,-1.84109,3.34807,-2.71944,1.58189,3.28382,-4.79586,M,3.91,3.69,-0.654589761
g169,CHILD,3.41648,2.10514,-1.79093,5.84801,6.48473,-1.91786,F,2.81,3.75,-0.658494291
g063,CHILD,3.79285,3.42262,0.40227,6.48725,4.73987,-0.77079,F,3.81,2.94,-0.666033628
g108,CHILD,4.53104,0.12738,-0.16961,0.32242,5.38239,2.20839,M,5.44,4.31,-0.667288755
b010,CHILD,0.18012,-0.19366,-0.66814,3.78817,5.59824,-3.12665,M,2.57,4.94,-0.668565271
g116,CHILD,-0.17847,-0.49899,-5.48784,-2.48127,2.6272,-3.4455,F,4.44,4.88,-0.703784731
g101,CHILD,-1.91998,4.41607,-5.81033,0.21446,3.55962,-9.68194,F,2.63,4.25,-0.721045829
g132,CHILD,0.70007,-2.54885,-2.17238,-0.15716,-0.42597,-1.44687,F,4.88,3.25,-0.731007193
g170,CHILD,3.12338,3.64135,-2.13623,2.17358,1.61563,-0.6942,M,3.13,2.94,-0.745985802
g180,CHILD,1.39236,0.0667,3.64044,-1.55632,5.97342,1.44971,M,3.69,3,-0.757820037
g167,CHILD,1.55969,2.06358,-1.18994,5.52359,6.07158,-0.01552,M,3.03,3.56,-0.767314831
g179,CHILD,0.86682,2.5885,-1.5806,5.17981,0.6633,0.64377,F,2,4.75,-0.76873603
g131,CHILD,-1.32066,-1.99964,-3.84036,-4.04689,1.62907,0.41215,F,0,0,-0.785234041
g070,CHILD,1.58155,0.24011,0.01713,2.5398,3.51733,1.69853,M,4.59,3.75,-0.793242177
