FaceSex,FaceAgeGroup,FaceAge,subject,face.a,ag.old,ag.young,at.old,at.young,ba.old,ba.young,co.old,co.young,he.old,he.young,un.old,un.young
M,YA,18,G170,YM2g14r,2.625,3.5,3.75,3.25,2.982142857,3.625,4.196428571,3.6875,5.25,4.5625,3.5625,4.25
M,YA,17,G173,YM1g48r,4.25,3.875,2.5,2.6875,2.8125,2.625,3,3.8125,3.9375,3.8125,4.625,4.3125
M,YA,17,G175,YM2g15r,3.25,3.75,2.625,2.6875,3.053571429,3.5,2.714285714,3.5,3.5,3.0625,4.5,4.0625
F,YA,17,G176,YW2g17r,3.75,4.3125,4.1875,4.5,3.383928571,2.5625,3.964285714,3.875,5.125,4.5625,3.6875,3.875
F,YA,18,G179,YW2g18r,3.8125,4.9375,2.375,1.75,2.133928571,2.625,3.607142857,3.5625,4.0625,3.25,4.3125,4.5625
M,YA,16,G180,YM2g16r,3.75,3.6875,3.3125,2.1875,3.008928571,2.875,3.9375,3.375,5,3.9375,3.8125,5
M,YA,16,O002,YM2g17r,2.3125,2.875,4.1875,3.9375,3.857142857,4.1875,4.116071429,4.3125,5.1875,4.8125,3.1875,3.8125
F,YA,17,O003,YW2g20r,3.125,4,3.8125,3.75,4.276785714,4.375,3.5625,3.75,4.5625,4.3125,3.25,3.8125
M,YA,17,O006,YM2g18r,3.625,4.5,4.125,4.9375,2.580357143,2.8125,3.803571429,4.9375,5.25,5.0625,3.9375,4.0625
M,YA,17.5,O008,YM2g19r,4.25,4.1875,2.4375,2.9375,2.375,3.4375,2.830357143,3.5,3.8125,3.5,4.375,4.625
F,YA,17,O013,YW2g21r,4.25,5.0625,1.8125,2.125,3.3125,4.5625,2.446428571,2.875,3.625,2.6875,4.5625,5.1875
M,YA,17,O030,YM2g20r,3.75,4.0625,3.8125,4.0625,3.651785714,4.1875,3.910714286,4.3125,4.875,4.625,3.75,3.625
F,YA,16,O031,YW2g22r,3.9375,4.3125,2.4375,1.9375,2.482142857,2.4375,3.383928571,4.125,4.0625,3,4.125,4.625
M,YA,18,O032,YM1g9r,4.1875,4.6875,2.5,2.75,2.75,2.4375,3.25,3.4375,4.1875,4.0625,4.375,4.6875
M,YA,16,O042,YM2g22r,2.75,4.0625,4.125,3.125,3.776785714,3.5,3.848214286,3.5625,4.875,4,3.375,4.125
F,YA,17,O049,YW2g25r,3.5625,4.3125,2.75,2.125,2.223214286,1.9375,3.991071429,4.5,4.4375,3.375,3.5625,4.0625
M,YA,17,O050,YM2g23r,4.1875,6.125,2.6875,1.6875,2.633928571,2.5,3.696428571,4,4.25,3.1875,4.25,5.8125
F,YA,17,O053,YW2g26r,2.375,3.0625,4.375,4.25,3.785714286,3.25,4.785714286,4.4375,5.625,5.0625,3,3.5
M,YA,17.5,O054,YM2g24r,3.5625,3.875,2.4375,1.9375,3.0625,2.875,3.0625,3.5,4.1875,3.3125,4.3125,4.625
M,YA,17.5,O060,YM2g25r,3.625,4.0625,2.375,2.5,2.410714286,3,3.258928571,3.4375,3.8125,3.6875,4.375,4.625
M,YA,17,O066,YM1g50r,4.3125,4.6875,3.5,3.8125,3.1875,2.75,3.1875,4.5625,4.5,4.875,4.125,4.25
F,YA,17,O067,YW2g28r,2.3125,3.125,2.75,2.25,3.464285714,3.6875,3.758928571,3.875,4.125,3.6875,3.8125,3.875
