subjcode,Sex,AgeGroup,MindEye,Snellen,MarsForm1,MarsForm2,BentonFaceRecog,Pattern,Shipley,Age
FIRE6112,2,1,25,25,1.68,1.2,41,51,33,19
FIRE6212,2,1,32,20,1.72,1.68,52,51,34,19
FISH0111,1,1,21,20,1.76,1.4,50,51,35,18
FISH0211,1,1,29,20,1.76,1.76,47,47,36,19
FISH0311,1,1,29,15,1.72,1.76,45,55,36,18
FISH0412,2,1,25,15,1.72,1.76,52,43,28,18
FISH0512,2,1,21,20,1.72,1.12,50,44,27,19
FISH0622,2,2,22,30,1.68,1.28,43,26,33,68
FISH0721,1,2,18,40,1.56,1.44,45,24,36,72
FISH0822,2,2,24,20,1.68,1.72,47,32,38,69
FISH0912,2,1,22,25,1.72,1.6,54,25,29,19
FISH1012,2,1,25,20,1.76,1.2,43,47,38,18
FISH1121,1,2,26,30,1.72,1.68,52,35,35,67
FISH1211,1,1,23,10,1.76,1.72,47,34,34,18
FISH1311,1,1,21,25,1.76,1.52,49,54,33,19
FISH1412,2,1,28,15,1.76,1.76,52,24,32,18
FISH1521,1,2,20,40,1.24,1.32,47,31,38,80
FISH1622,2,2,26,20,1.6,1.64,47,30,37,78
FISH1712,2,1,32,15,1.6,1.36,50,41,32,18
FISH1821,1,2,23,40,1.64,1.68,49,28,38,67
FISH1921,1,2,24,40,1.44,1.2,39,24,34,79
FISH2022,2,2,23,40,1.52,1.36,43,21,35,78
FISH2111,1,1,25,20,1.76,1.52,54,31,34,21
FISH2212,2,1,29,20,1.68,1.68,49,49,35,19
FISH2321,1,2,26,40,1.6,1.36,49,38,37,72
FISH2421,1,2,26,25,1.6,1.68,45,31,40,76
FISH2511,1,1,28,20,1.72,1.44,50,29,33,19
FISH2621,1,2,33,40,1.64,1.76,52,24,40,72
FISH2711,1,1,21,30,1.72,1.36,47,26,29,20
FISH2821,1,2,28,40,1.4,1.48,47,29,39,81
FISH2922,2,2,27,40,1.6,1.44,49,27,32,79
FISH3021,1,2,23,25,1.6,1.6,49,28,36,78
FISH3111,1,1,26,20,1.76,1.44,47,52,33,18
FISH3212,2,1,28,20,1.72,1.44,43,49,36,19
FISH3312,2,1,23,20,1.76,1.32,52,40,34,18
FISH3411,1,1,25,13,1.8,1.76,47,58,32,20
FISH3512,2,1,28,30,1.68,1.68,50,45,20,18
FISH3612,2,1,27,13,1.76,1.44,49,58,31,19
FISH3722,2,2,25,15,1.72,1.76,43,27,37,72
FISH3811,1,1,30,10,1.76,1.36,49,37,36,22
FISH3922,2,2,27,25,1.68,1.4,43,27,37,75
FISH4022,2,2,27,25,1.64,1.28,49,21,36,67
FISH4112,2,1,30,13,1.76,1.76,54,45,36,21
FISH4212,2,1,19,13,1.76,1.76,49,47,31,18
FISH4311,1,1,29,25,1.68,1.44,47,46,34,20
FISH4411,1,1,25,25,1.72,1.44,50,35,31,18
FISH4512,2,1,33,20,1.76,1.76,52,33,35,18
FISH4612,2,1,27,15,1.72,1.68,43,49,34,20
